서지ID,제목,저자,출판사,출판년,청구기호,분류기호,분류항목,주제어,검색청구기호
CATTOC000000692092,Behavioral business ethics : shaping an emerging field,"De Cremer, David",Routledge,2012,174.4 B419,174.4,,,174.4
CATTOC000000675792,Finance ethics : critical issues in theory and practice,"Boatright, John Raymond",Wiley,2010,174.4 B662f,174.4,,,174.4
CATTOC000000688475,Sage brief guide to marketing ethics,"Shaw, Lisa",SAGE,2012,174.4 S129,174.4,,,174.4
CATTOC000000690047,Business ethics and corporate sustainability,"Tencati, Antonio","Edward Elgar Publishing, Incorporated",2011,174.4 B977,174.4,,,174.4
CATTOC000000629705,"Business ethics and values : individual, corporate and international perspectives / 3rd ed","Fisher, C. M.",Prentice Hall/Financial Times,2009,174.4 F533b 2009,174.4,,,174.4
CATTOC000000650139,Business ethics / 7th ed,"De George, Richard T.",Prentice Hall,2010,174.4 D278b 2010,174.4,,,174.4
CATTOC000000676115,"Weltgeist, Weltmarkt, Weltgericht","Kittsteiner, Heinz Dieter",Wilhelm Fink,2008,174.4 K62w,174.4,,,174.4
CATTOC000000675798,Accounting and business ethics : an introduction,"McPhail, Ken",Routledge,2009,174.4 M172a,174.4,,,174.4
CATTOC000000660345,"Ethical decision making for business / 8th ed., International ed","Fraedrich, John",South-Western Cengage Learning,2011,174.4 F799e 2011,174.4,,,174.4
CATTOC000000639309,Business ethics : a case study approach,"Henn, Stephen K.",Wiley,2009,174.4 H515b,174.4,,,174.4
CATTOC000000650331,Business ethics : a managerial approach,"Wicks, Andrew C.",Prentice Hall,2010,174.4 B978,174.4,,,174.4
CATTOC000000654534,"Profit, prudence and virtue : essays in ethics, business and management","Gregg, Samuel",Imprint Academic,2009,174.4 P965,174.4,,,174.4
CATTOC000000636186,Temptations in the office : ethical choices and legal obligations,"Goldman, Stephen M.",Praeger,2008,174.4 G619t,174.4,,,174.4
CATTOC000000655438,자본주의는 윤리적인가?: 우리 시대의 몇 가지 우스꽝스러움과 독재에 대한 고찰,"Comte-Sponville, Andre<",생각의나무,2010,174.4 C741c K,174.4,,,174.4
CATTOC000000591384,"The moral leader : challenges, insights, and tools","Sucher, Sandra J.",Routledge,2008,174.4 S942m,174.4,,,174.4
CATTOC000000625860,Globalisation and business ethics,"Homann, Karl",Ashgate,2008,LA 174.4 G562,174.4,,,174.4
CATTOC000000617869,Business ethics as practice : ethics as the everyday business of business,"Painter-Morland, Mollie",Cambridge University Press,2008,174.4 P148b,174.4,,,174.4
CATTOC000000808694,Good work : when excellence and ethics meet,"Gardner, Howard",Basic,2001,174.4 G227g,174.4,,,174.4
CATTOC000000671143,經濟と倫理 : 福祉國家の哲學,염야 곡우일,東京大學出版會,2002,174.4 염62ㄱ,174.4,,,174.4
CATTOC000000690055,Ethics and organizational leadership : developing a normative model,"Fryer, Mick",Oxford University Press,2011,174.4 F948e,174.4,,,174.4
CATTOC000000691973,"Ethical solutions : creating an ethical and high-performing business community: proven principles, for personal, professional, and ethical excellence","Ferdowsian, M. C.",Xlibris,2009,174.4 F348e,174.4,,,174.4
CATTOC000000670721,Why some things should not be for sale : the moral limits of markets,"Satz, Debra",Oxford University Press,2010,174.4 S254w,174.4,,,174.4
CATTOC000000699071,Ethics and the conduct of business / 6th ed,"Boatright, John Raymond",Pearson Prentice Hall,2009,174.4 B662e 2009,174.4,,,174.4
CATTOC000000675784,Ethical issues and social dilemmas in knowledge management : organizational innovation,"Morais da Costa, Gonc*alo Jorge",Information Science Reference,2011,174.4 E846,174.4,,,174.4
CATTOC000000625882,"Developing a corporate ethics strategy : leading CEOs on building a culture of trust, addressing ethical dilemmas, and ensuring company consistency","Gutierrez, Adolfo E.",Aspatore Books,2009,LA 174.4 D489,174.4,,,174.4
CATTOC000000700476,"International management ethics : a critical, cross-cultural perspective","Jackson, Terence",Cambridge University Press,2011,174.4 J14i,174.4,,,174.4
CATTOC000000555903,Responsible leadership,"Maak, Thomas",Routledge,2006,174.4 R434,174.4,,,174.4
CATTOC000000822633,Business Ethics : An Ethical Decision-Making Approach,"Schwartz, Mark S",Wiley,2017,174.4 S399b,174.4,,,174.4
CATTOC000000688589,Blind spots : why we fail to do what's right and what to do about it,"Bazerman, Max H",Princeton University Press,2011,174.4 B362b,174.4,,,174.4
CATTOC000000572758,For business ethics : a critical text,"Jones, Campbell",Routledge,2005,174.4 J76f,174.4,,,174.4
CATTOC000000745588,한국의 윤리경영,김기찬,프리이코노미북스: 에프케이아이미디어,2014,174.4 김19ㅎ,174.4,,,174.4
CATTOC000000556981,"Business ethics and values : individual, corporate and international perspectives / 2nd ed","Fisher, C. M.",FT Prentice Hall,2006,174.4 F533b 2006,174.4,,,174.4
CATTOC000000704974,윤리경영 : 이론과 실제,최만기,탑북스,2011,174.4 최31ㅇ,174.4,,,174.4
CATTOC000000506369,Business ethics / 5th ed,"Shaw, William H.",Thomson/Wadsworth,2005,174.4 S537b 2005,174.4,,,174.4
CATTOC000000602714,Faith and fortune : the quiet revolution to reform American business,"Gunther, Marc",Crown Business,2004,174.4 G977f,174.4,,,174.4
CATTOC000000604908,Integrating ethics with strategy : selected papers of Alan E. Singer,"Singer, Alan E.",World Scientific,2007,174.4 S617i,174.4,,,174.4
CATTOC000000545759,Marketing ethics : cases and readings,"Murphy, Patrick E.",Pearson Prentice Hall,2006,174.4 M978m,174.4,,,174.4
CATTOC000000575971,Corporate ethics and corporate governance,"Zimmerli, Walther Ch.",Springer,2007,174.4 C822,174.4,,,174.4
CATTOC000000575973,Ethics in the workplace : tools and tactics for organizational transformation,"Johnson, Craig E.",SAGE Publications,2007,174.4 J66e,174.4,,,174.4
CATTOC000000576658,"Ethics, law, and business","Wines, William A.",Lawrence Erlbaum Associates,2006,보관서고,174.4,,,174.4
CATTOC000000576005,Human resource management : ethics and employment,"Pinnington, Ashly",Oxford University Press,2007,174.4 H918,174.4,,,174.4
CATTOC000000508968,경영윤리 기본,김해천,博英社,2003,174.4 김92ㄱ,174.4,,,174.4
CATTOC000000505474,Wirtschaftsethik : Eine Vorlesung von Univ.-Prof. Dr. Dr. h. c. August Marx an der Wirtschaftshochschule (Universitaet) Mannheim im Sommersemester 1957,"Marx, August",Forschungsstelle fuer Betriebswirtschaft und Sozialpraxis,2003,174.4 M392w,174.4,,,174.4
CATTOC000000547498,The ethics of the market,"Meadowcroft, John",Palgrave Macmillan,2005,174.4 M482e,174.4,,,174.4
CATTOC000000546197,Ethics for international business : decision making in a global political economy,"Kline, John M.",Routledge,2005,174.4 K65e,174.4,,,174.4
CATTOC000000507062,Business ethics : mistakes and successes,"Hartley, Robert F.",John Wiley & Sons,2004,174.4 H332b,174.4,,,174.4
CATTOC000000565511,"Ethics, free enterprise, and public policy : Original Essays on Moral Issues in Business","De George, Richard T.",Oxford University Press,1978,174.4 D278e,174.4,,,174.4
CATTOC000000539219,Management ethics : contemporary contexts,"Clegg, Stewart R.",Routledge,2006,174.4 M2662,174.4,,,174.4
CATTOC000000523834,Law and ethics in global business : how to integrate law and ethics into corporate governance around the world,"Nelson, Brian L.",Routledge,2005,174.4 N424 l,174.4,,,174.4
CATTOC000000186729,Business ethics : case studies and selected readings / 3rd ed,"Jennings, Marianne",West Educational Pub.,1999,174.4 J54b 1999,174.4,,,174.4
CATTOC000000678289,돈 걱정 없는 신혼부부 : 신혼부부들이 꼭 알아야 할 알짜배기 재무 관리,김의수,비전과리더십,2010,332.024 김685ㄷㄱ,332.024,,,332.024
CATTOC000000697665,언니의 비밀통장: 월 3만 원으로 1억 만드는 20대 전용 재테크,허서윤,21세기북스,2012,332.024 허53ㅇ,332.024,,,332.024
CATTOC000000688058,The secret language of money : how to make smarter financial decisions and lead a richer life,"Krueger, David W.",McGraw-Hill,2009,332.024 K94s,332.024,,,332.024
CATTOC000000840283,엄마의 재테크 미쳐도 좋아 : 돈에 대한 워프이론은 단시간에 부자가 되는 기적의 비밀병기,창원 충부,스타북스,2018,332.024 창67ㄱㅈ K,332.024,,,332.024
CATTOC000000669064,20대 경제생활 첫걸음,양석조,북스토리,2010,332.024 양53ㅇ,332.024,,,332.024
CATTOC000000669363,"(돈의 달인,) 호모 코뮤니타스",고미숙,그린비,2010,332.024 고39ㅎ,332.024,,,332.024
CATTOC000000629687,Private wealth : advances in wealth management practices,"Horan, Stephen Michael",John Wiley & Sons,2009,332.024 H811p,332.024,,,332.024
CATTOC000000643937,은퇴 후 30년을 준비하라,오종남,삼성경제연구소,2009,332.024 오75ㅇㅌ,332.024,,,332.024
CATTOC000000642154,통장의 고백: 당신만 모르는 금융회사의 은밀한 진실,심영철,더난,2010,332.024 심64ㅌ,332.024,,,332.024
CATTOC000000641228,(2010 2011 2012) 대한민국 경제 결정적 3년,김재인,서해문집,2010,332.024 김72ㄷ,332.024,,,332.024
CATTOC000000631004,"Marketing for financial advisors : build your business, bring in clients, and establish your brand","Bradlow, Eric T.",McGraw-Hill,2009,332.024 B811m,332.024,,,332.024
CATTOC000000622253,The 1-2-3 money plan : the three most important steps to saving and spending smart,"Karp, Gregory",FT Press,2009,332.024 K18o,332.024,,,332.024
CATTOC000000640249,50만 원의 기적: 가족의 미래를 바꾸는 아내의 비밀 노트,류재운,북플래닛,2009,332.024 류72ㅇ,332.024,,,332.024
CATTOC000000630427,다 쓰고 죽어라/ 제2판,"Pollan, Stephen M",해냄,2009,332.024 P771d K/2009,332.024,,,332.024
CATTOC000000620429,The modern rules of personal finance for professionals,"Berson, Susan A.",ABA,2008,LA 332.024 B535m,332.024,,,332.024
CATTOC000000619986,돈의 교양: 당신이 꼭 알아야 할 돈의 비밀과 진실,천 정인,랜덤하우스코리아,2009,332.024 천73ㅇ K,332.024,,,332.024
CATTOC000000676647,부자 통장: 가장 빨리 부자가 되는 내 돈 사용법,박종기,청림,2011,332.024 박75ㅂ,332.024,,,332.024
CATTOC000000658790,"Identity theft handbook : detection, prevention, and security","Biegelman, Martin T.",Wiley,2009,332.024 B586i,332.024,,,332.024
CATTOC000000664043,돈에 밝은 아이: 시험성적보다 더 중요한 우리 아이 경제교육,제윤경,한겨레,2010,332.024 제67ㄷ,332.024,,,332.024
CATTOC000000663502,애프터쇼크,"Wiedemer, David",쌤앤파커스,2011,332.024 W644af K,332.024,,,332.024
CATTOC000000665339,(2011) 실전 재테크 시나리오,서기수,링거스그룹,2010,332.024 실73,332.024,,,332.024
CATTOC000000696739,한국의 금융부자들,김석한,원앤원북스,2012,332.024 김53ㅎ,332.024,,,332.024
CATTOC000000692682,Handbook of consumer finance research,"Xiao, Jing J.",Springer,2008,332.024 H236,332.024,,,332.024
CATTOC000000696138,지금 당장 재무설계 공부하라,김태형,한빛비즈,2011,332.024 김832ㅈ,332.024,,,332.024
CATTOC000000692921,(사례로 쉽게 풀어보는) 재무설계학교: smart한 금융 소비자가 되기 위한 첫걸음,김현용,프로방스,2012,332.024 김94ㅈ,332.024,,,332.024
CATTOC000000620665,Estate planning strategies : a lawyer's guide to retirement and lifetime planning,"Soled, Jay A.","Senior Lawyers Division, American Bar Association",2002,보관서고,332.024,,,332.024
CATTOC000000622204,"10,001 ways to live large on a small budget",Wirters of Wise Bread,Skyhorse Pub.,2009,332.024 T289,332.024,,,332.024
CATTOC000000821902,DIY financial advisor : a simple solution to build and protect your wealth,"Gray, Wesley R",Wiley,2015,332.024 G783d,332.024,,,332.024
CATTOC000000603078,한국의 재테크 천재들,여운봉,밀리언하우스,2008,332.024 여67ㅎ,332.024,,,332.024
CATTOC000000605206,(큰 부자도 부러워하는) 작은 부자들의 돈 관리법 50가지,정경애,매일경제신문사,2004,332.024 정14ㅈ,332.024,,,332.024
CATTOC000000639385,Personal finance / 4th ed,"Beal, Diana",John Wiley and Sons,2009,332.024 B366p 2009,332.024,,,332.024
CATTOC000000572176,(오늘 행복하고 내일 부자되는) 내인생 첫번째 재무설계,이광구,더난,2007,LA 332.024 이16ㄴ,332.024,,,332.024
CATTOC000000632313,1억의 벽: 반드시 넘어야 할 성공 재테크의 첫 관문,맹재원,토네이도,2009,332.024 맹72ㅇ,332.024,,,332.024
CATTOC000000777871,(돈과 인생을 움직이는) 머니 머츄어리티 : 금전적으로 풍요로우면서 영혼이 충만한 삶 디자인하기,"Kinder, George",티움,2015,332.024 K51s K,332.024,,,332.024
CATTOC000000690749,재테크의 거짓말: 속지 않고 당하지 않는 재테크의 원칙,홍사황,위즈덤하우스,2011,332.024 홍51ㅈ,332.024,,,332.024
CATTOC000000699128,Aftershock : protect yourself and profit in the next global financial meltdown,"Wiedemer, David",John Wiley,2010,332.024 W644af,332.024,,,332.024
CATTOC000000694810,(운명을 바꾸는) 10년 통장,고득성,다산북스,2012,332.024 고228ㅅ,332.024,,,332.024
CATTOC000000779218,Trade your way to financial freedom / 2nd ed,"Tharp, Van K.",McGraw-Hill,2007,332.024 T367t 2007,332.024,,,332.024
CATTOC000000785821,돈에서 자유로워지는 시간 : 일생에 한 번 돈 걱정 없는 시스템 만들기,고득성,다산북스,2016,332.024 고228ㄷㅇ,332.024,,,332.024
CATTOC000000792774,(사회초년생을 위한) 재테크 첫걸음 : 돈 걱정 없는 스마트한 자산관리법의 모든 것,성동규,북스토리,2015,332.024 성225ㅈ,332.024,,,332.024
CATTOC000000609956,4개의 통장,고경호,다산북스,2009-,332.024 고14ㄴ,332.024,,,332.024
CATTOC000000622142,Crisis investing and entrepreneuring : 10 innovative strategies to help you achieve financial success and solvency in a down economy,"Seavey, William L.",Crisis response,2009,332.024 S442c,332.024,,,332.024
CATTOC000000622252,Save your retirement : what to do if you haven't saved enough or if your investments were devastated by the market meltdown,"Armstrong, Frank, III",FT Press,2009,332.024 A735s,332.024,,,332.024
CATTOC000000611248,(PB들도 몰래 보는) 재테크 상식사전,박경일,산호와진주: 미르북스,2008,332.024 박14ㅈ,332.024,,,332.024
CATTOC000000599504,"Die finanzen im griff : so behalten Sie den Ueberblick ; das Buch zur TV-Sendung ""Raus aus den Schulden"" (RTL)","Schmidt, Thorsten",Eichborn,2008,332.024 S354d,332.024,,,332.024
CATTOC000000627307,(똑똑한 투자자의) 금융투자 절세 가이드,전국투자자교육협의회,전국투자자교육협의회,미상,332.024 금67,332.024,,,332.024
CATTOC000000620123,주유소 100배 잘 이용해 목돈만들기,한호,상상커뮤니케이션,2006,332.024 한95ㅈ,332.024,,,332.024
CATTOC000000565684,"(대한민국 4050 재테크,) 행복한 노후를 디자인 하라",이기수,시아,2007,332.024 이19ㅎ,332.024,,,332.024
CATTOC000000608462,돈 걱정 없는 우리집 : 가족을 행복하게 하는 재무관리,김의수,비전과리더십,2009,332.024 김685ㄷ,332.024,,,332.024
CATTOC000000592870,"(샤방샤방,) 그녀의 매혹통장 만들기/ 2판",유진경,세계사,2008,332.024 유79ㄱ 2008,332.024,,,332.024
CATTOC000000677270,"Wealth management in the new economy : investor strategies for growing, protecting and transferring wealth","Mindel, Norbert M.",John Wiely & Sons,2010,332.6 M663w,332.6,,,332.6
CATTOC000000699790,The Oxford handbook of quantitative asset management,"Scherer, Bernd",Oxford University Press,2012,332.6 O 98,332.6,,,332.6
CATTOC000000700919,"Evolutions in sustainable investment : strategies, funds and thought leadership","Krosinsky, Cary",Wiley,2012,332.6 E93,332.6,,,332.6
CATTOC000000676799,Portfolio design : a modern approach to asset allocation,"Marston, Richard C.",John Wiley & Sons,2011,332.6 M374p,332.6,,,332.6
CATTOC000000692085,Impact investing : transforming how we make money while making a difference / 1st ed,"Bugg-Levine, Antony",Jossey-Bass,2011,332.6 B931i,332.6,,,332.6
CATTOC000000668314,The paradox of asset pricing,"Bossaerts, Peter L.",Princeton University Press,2002,332.6 B745p,332.6,,,332.6
CATTOC000000665755,More than you know : finding financial wisdom in unconventional places / Updated and expanded ed,"Mauboussin, Michael J.",Columbia Business School Pub.,2008,332.6 M447m 2008,332.6,,,332.6
CATTOC000000629701,Active value investing : making money in range bound markets,"Katsenelson, Vitaliy N.",J. Wiley & Sons,2007,332.6 K19a,332.6,,,332.6
CATTOC000000675814,Operational control in asset management : processes and costs / 1st ed,"Pinedo, Michael",SimCorp StrategyLab,2010,332.6 O 625,332.6,,,332.6
CATTOC000000788544,Rising above financial storms : top advice from Asia's no. 1 investment guru,"Tan, Chong Koay",Darul Ehsan,2015,332.6 T161r,332.6,,,332.6
CATTOC000000662030,The art of asset allocation : principles and investment strategies for any market / 2nd ed,"Darst, David M.",McGraw-Hill,2008,332.6 D225a 2008,332.6,,,332.6
CATTOC000000662053,Asset pricing for dynamic economies,"Altug, Sumru",Cambridge University Press,2008,332.6 A469a,332.6,,,332.6
CATTOC000000628366,지금 당장 돈의 흐름 공부하라,윤채현,한빛비즈,2009,332.6 윤812ㅈ,332.6,,,332.6
CATTOC000000636893,"Investments : Analysis and Management Wiley Asia / Wiley Asia student ed., 10th ed","Jones, Charles P.",John Wiley ＆ Sons,2007,332.6 J76i 2007,332.6,,,332.6
CATTOC000000649206,Practical portfolio performance : measurement and attribution / 2nd ed,"Bacon, Carl R.",Wiley,2008,SM 332.6 B128p 2008,332.6,,,332.6
CATTOC000000650151,Distress investing : principles and technique,"Whitman, Martin J.",Wiley,2009,332.6 W615d,332.6,,,332.6
CATTOC000000633708,성공 투자자의 욕망 통제법,"Fertig, Maury",위즈덤하우스,2009,332.6 F411s K,332.6,,,332.6
CATTOC000000630820,"금, 원자재 투자 그리고 인플레이션",이동엽,푸른나무,2009,332.6 이225ㄱ,332.6,,,332.6
CATTOC000000628988,Quality money management : process engineering and best practices for systematic trading and investment,"Kumiega, Andrew",Elsevier/Academic Press,2008,332.6 K96q,332.6,,,332.6
CATTOC000000623477,How a second grader beats Wall Street : golden rules any investor can learn,"Roth, Allan S.",John Wiley,2009,332.6 R845h,332.6,,,332.6
CATTOC000000608040,In the market : the illustrated history of the financial markets,"Finch, Christopher",Abbeville Press,2001,대 332.6 F492i,332.6,,,332.6
CATTOC000000654079,팻 테일,"Bremmer, Ian",현대경제연구원BOOKS,2010,332.6 B836f K,332.6,,,332.6
CATTOC000000675797,Advanced asset pricing theory,"Ma, Chenghu","Imperial College Press; Distributed by World Scientific Pub.,",2011,332.6 M111a,332.6,,,332.6
CATTOC000000672030,The new era of wealth : how investors can profit from the 5 economic trends shaping the future,"Wesbury, Brian S.",McGraw-Hill,2000,332.6 W511n,332.6,,,332.6
CATTOC000000649198,The new science of asset allocation : risk management in a multi-asset world,"Schneeweis, Thomas",Wiley,2010,332.6 S358n,332.6,,,332.6
CATTOC000000649200,"Investment management : meeting the noble challenges of funding pensions, deficits, and growth","Wagner, Wayne H.",Wiley,2009,332.6 I 62,332.6,,,332.6
CATTOC000000678024,The insured portfolio : your gateway to stress-free global investments,"Nolan, Erika",John Wiley & Sons,2010,332.6 N787i,332.6,,,332.6
CATTOC000000677052,"Private equity : fund types, risks and returns, and regulation","Cumming, Douglas",Wiley,2010,332.6 C971p,332.6,,,332.6
CATTOC000000701134,Investments : principles of portfolio and equity analysis: workbook,"McMillan, Michael G.",Wiley,2011,332.6 I 63,332.6,,,332.6
CATTOC000000824018,Investing for dummies / 8th ed,"Tyson, Eric",Wiley,2017,332.6 T994i 2017,332.6,,,332.6
CATTOC000000586386,비열한 시장과 도마뱀의 뇌: 예측할 수 없는 시장을 꿰뚫는 현대 경제학의 새로운 패러다임,"Burnham, Terry",갤리온,2008,332.6 B966m K,332.6,,,332.6
CATTOC000000604097,The little book that saves your assets : what the rich do to stay wealthy in up and down markets,"Darst, David M.",John Wiley & Sons,2008,332.6 D225 l,332.6,,,332.6
CATTOC000000628598,취미·레저 투자,원주호,한신경제연구소,1988,332.6 취39,332.6,,,332.6
CATTOC000000625677,주식시장의 투자수익률 및 위험 프리미엄 분석결과,한국투자자교육재단,한국투자자교육재단,2008-,332.6 주595,332.6,,,332.6
CATTOC000000636870,The smart investor's money machine : methods and strategies to create regular income,"Kraft, Bill",John Wiley,2009,332.6 K89s,332.6,,,332.6
CATTOC000000590579,Handbook of the equity risk premium,"Mehra, Rajnish",Elsevier,2008,332.6 H237,332.6,,,332.6
CATTOC000000622205,"The new coffeehouse investor : how to build wealth, ignore Wall Street, and get on with your life","Schultheis, Bill",Portfolio,2009,332.6 S386c 2009,332.6,,,332.6
CATTOC000000628986,J-curve exposure : managing a portfolio of venture capital and private equity funds,"Mathonet, Pierre-Yves",J. Wiley & Sons,2007,332.6 M432j,332.6,,,332.6
CATTOC000000625671,자본시장 선진화와 투자자보호 국제심포지엄,한국증권법학회,한국증권법학회,2006,332.6 자45,332.6,,,332.6
CATTOC000000636928,Building wealth in the stock market : a proven investment plan for finding the best stocks and managing risks,"Nicholson, Colin John",John Wiley and Sons Australia,2009,332.6 N624b,332.6,,,332.6
CATTOC000000677720,The Warren Buffetts next door : the world's greatest investors you've never heard of and what you can learn from them,"Schifrin, Matthew",John Wiley & Sons,2011,332.6 S333w,332.6,,,332.6
CATTOC000000699756,The handbook of traditional and alternative investment vehicles : investment characteristics and strategies,"Anson, Mark J. P.",Wiley,2011,332.6 A622h,332.6,,,332.6
CATTOC000000766549,Financial advice and investment decisions: a manifesto for change,"Wilcox, Jarrod W.",John Wiley ＆ Sons,2013,332.6 W667f,332.6,,,332.6
CATTOC000000701130,International private equity,"Talmor, Eli",Wiley,2011,332.6 T151i,332.6,,,332.6
CATTOC000000766710,The complete family office handbook: a guide for affluent families and the advisers who serve them,"Rosplock, Kirby",John Wiley ＆ Sons,2014,332.6 R822c,332.6,,,332.6
CATTOC000000713554,The family office book : investing capital for the ultra-affluent,"Wilson, Richard C.",John Wiley & Sons,2012,332.6 W752f,332.6,,,332.6
CATTOC000000508815,Modern portfolio theory and investment analysis / 6th ed,"Elton, Edwin J.",John Wiley & Sons,2003,332.6 E51m 2003,332.6,,,332.6
CATTOC000000611247,멘탈투자: 위기의 투자자들을 위한 투자의 정석,송동근,행간,2009,332.6 송225ㅁ,332.6,,,332.6
CATTOC000000613285,The snowball : Warren Buffett and the business of life,"Schroeder, Alice",Bantam Books,2008,332.6 B929S,332.6,,,332.6
CATTOC000000591935,(미래에셋과 함께하는) 자산운용 성공전략,미래에셋투자교육연구소,미래에셋투자교육연구소: MIRAE ASSET,2007,332.6 자51,332.6,,,332.6
CATTOC000000964326,"Science communication taking a step back to move forward : Science ＆ you, Metz, 2021","Bauer, Martin W.",CNRS Éditions,2023,029.4 S416,029.4,,,029.4
CATTOC000000639179,(통찰력을 키워주는) 밸런스 독서법,이동우,21세기북스,2009,028 이225ㅂ,028,,,028
CATTOC000000640169,"독서국민의 탄생: 근대 일본, 책 읽는 국민을 만들다",영령 중민,푸른역사,2010,028 영234ㄷ K,028,,,028
CATTOC000000791941,세상에 읽지 못할 책은 없다 : 평범한 대학생을 메이지대 교수로 만든 독서법,재등 효,21세기북스,2016,028 재228ㅂ K,028,,,028
CATTOC000000705283,독서 혁명: 변화를 만들지 못하는 독서는 버려라!,곽동우,은행나무,2011,028 곽225ㄷ,028,,,028
CATTOC000000605793,교양이란 무엇인가: 동경대 교양학부의 독서론 강의,노기영,지식의 날개,2008,028 교62,028,,,028
CATTOC000000617465,"(2008년) 부산시민 독서실태 조사: 초, 중·고등, 성인",남송우,영광도서,2009,028 남552,028,,,028
CATTOC000000595707,독서달인이 말하는 업무달인 되는 법,중도 효지,교보문고,2008,028 중225ㅋ K,028,,,028
CATTOC000000598674,멀티미디어 시대의 전략적 글 읽기,고은미,글누림,2006,028 멀839,028,,,028
CATTOC000000498702,(독서치료를 위한) 상황별 독서목록: 성인편,한국도서관협회,한국도서관협회,2004,028 한172ㅅ,028,,,028
CATTOC000000570186,行爲としての讀書 : 美的作用の理論,"Iser, Wolfgang",岩波書店,1982,028 I 78a J,028,,,028
CATTOC000000550215,자아성장을 위한 체험형 독서치료 : 2006년도 독서대학 자료집,한국도서관협회,한국도서관협회,2006,028 자61,028,,,028
CATTOC000000810580,꽃을 든 남자보다 책과 신문을 든 남자가 더 매력적이다,강평원,學古房,2017,028 강844ㄱ,028,,,028
CATTOC000000548101,(부자나라 임금님의) 성공 독서전략 : 스피드 정보시대의 시스템 독서법,제등 영치,북포스,2006,028 제228ㅇ K,028,,,028
CATTOC000000522032,초고속전뇌학습법: 일반과정 : 초급편/ 12판,김용진,새로운문화사,2005,028 김66ㅊ 2005,028,,,028
CATTOC000000569796,How to improve your personality by reading,"Thornton, Francis Beauchesne",Bruce Pub. Co.,1949,028 T513h,028,,,028
CATTOC000000555320,(독서치료를 위한) 상황별 독서목록: 증보편,한국도서관협회,한국도서관협회,2007,028 상96,028,,,028
CATTOC000000522033,초고속전뇌학습법/ 5판,김용진,새로운문화사,1998,028 김66ㅊㄱ 1998,028,,,028
CATTOC000000165846,Pratiques de la lecture,"Chariter, Roger",Rivages,1985,028 C486p,028,,,028
CATTOC000000314180,책과 친구가 어떻게 될까,안도섭,소나무,1993,028 안225ㅊ,028,,,028
CATTOC000000505413,L'acte de lecture : the>orie de l'effet esthe>tique / Deuxie<me e>d,"Iser, Wolfgang",Pierre Mardaga,1997,028 I 78a 1997/F,028,,,028
CATTOC000000761226,시간을 버리는 읽기 시간을 버는 읽기 : 제대로 읽고도 시간이 남는 한 문장 독서법,강병재,평사리,2014,028 강44ㅅ,028,,,028
CATTOC000000779994,독서법부터 바꿔라 : 인생 역전을 위한 리딩프로젝트,기성준,북씽크,2015,028 기53ㄷ,028,,,028
CATTOC000000745268,독서독인,박홍규,인물과사상사,2014,028 박95ㄷ,028,,,028
CATTOC000000750213,천천히 읽기 그리고 생각하기 : 뜨거운 울림을 위한 독서 이야기,김삼덕,하나의책,2014,028 천813,028,,,028
CATTOC000000770437,책은 돛 : 내 삶의 인문교양을 향한 첫 항해,고진하,동녘,2015,028 고79ㅊ,028,,,028
CATTOC000000717597,알파레이디 북토크: 책으로 세상을 읽다,경향신문. 인터랙티브 팀,들녘,2013,028 알841,028,,,028
CATTOC000000447568,책 읽는 방법을 바꾸면 인생이 바뀐다,백금산,부흥과개혁사,2002,028 백18ㅊ,028,,,028
CATTOC000000435114,독서와 이노베이션,정을병,청어,2002,028 정68ㄷ,028,,,028
CATTOC000000425908,좋은 독서가족 길라잡이: 꿈과 비전을 심어 주는 좋은 독서 습관,한국교회독서문화연구회,비전북,2002,028 한17ㅈ,028,,,028
CATTOC000000742862,책에 대해 던지는 7가지 질문,정수복,로도스,2013,028 정57ㅊㅇ,028,,,028
CATTOC000000835917,(인류 문명의 진화를 이끈) 독서의 힘,독서적역량. 편집출판위원회,더블북,2018,028 독531ㄷ K,028,,,028
CATTOC000000746897,스타킹 속독법 / 2판,정진화,BM 성안당,2013,028 정79ㅅ 2013,028,,,028
CATTOC000000112351,Roads to reading,"Staiger, Ralph C.",Unesco,1979,028 S782r,028,,,028
CATTOC000000731942,무엇을 어떻게 읽을 것인가 : 시대가 던진 질문의 답을 찾다,권희정,꿈결: 꿈을담는틀,2013,028 권98ㅁ,028,,,028
CATTOC000000797286,"독서 부자가 된 배달맨 : 스펙없고 빽없고, 희망이 없다고 생각하는 청년이여! 독서로 터닝하라",정연훈,일송북,2016,028 정64ㄷ,028,,,028
CATTOC000000790454,책은 미래다,금주은,행복에너지,2016,028 금77ㅊ,028,,,028
CATTOC000000793004,더불어 읽기,한현미,맘에드림,2016,028 한94ㄷ,028,,,028
CATTOC000000005675,How to read a book : the art of getting a liberal education,"Adler, Mortimer Jerome",Simon and Schuster,1940,028 A237h,028,,,028
CATTOC000000802942,(조용한 김 목사의) 우당탕탕 독서운동기,김동명,유심,2016,028 김225ㅇ,028,,,028
CATTOC000000801655,독서 8년 : 나를 바꾼 시간,황희철,차이정원,2016,028 황98ㄷ,028,,,028
CATTOC000000824401,"천년의 독서 : 길 잃은 시대에 다시 만나는, 독서의 기술 자유의 기술",전병국,궁리,2017,028 전44ㅊ,028,,,028
